KIC			Dnu			nu_max			Dpi1		dnurot,core			sigma			number of components
			(muHz)			(muHz)			(s)		 (nHz)				 (nHz)

003744043		9.91			111.60			75.90		275.0				5.87				3
003746005		8.60			93.38			73.70		145.0				6.22				3
003751415		12.42			142.76			81.50		325.0				8.87				3
003751663		7.98			84.91			72.50		0.0				3.69				1
003756174		9.51			107.85			76.80		355.0				3.89				2
003833819		12.42			153.87			79.40		330.0				5.86				3
003837488		9.31			97.52			75.50		0.0				4.56				1
003839294		9.93			110.69			77.10		0.0				4.41				1
003842778		7.48			73.67			72.20		340.0				8.01				2
003847096		12.27			147.60			81.1		0.0				4.00				1
003854607		14.47			179.53			84.50		0.0				6.78				1
003861797		12.64			148.42			81.70		330.0				2.76				3
003942701		12.46			147.11			82.40		625.0				4.38				2
003955033		9.23			106.12			74.50		765.0				7.96				2
003965502		9.64			115.39			72.90		325.0				6.37				2
003970635		6.72			67.07			70.00		0.0				9.52				1
003973247		12.37			150.55			81.20		380.0				4.67				3
004048951		10.50			119.06			77.90		225.0				4.25				3
004056579		12.00			141.43			81.50		305.0				3.45				3
004066074		9.62			104.16			76.40		355.0				7.40				2
004066278		10.16			121.83			74.80		140.0				7.51				3
004074796		10.96			129.16			78.60		510.0				1.56				2
004137210		9.89			117.59			74.40		0.0				7.38				1
004147928		15.64			210.98			86.20		0.0				3.89				1
004147993		16.25			221.84			84.85		490.0				2.28				3
004164464		14.24			181.27			84.20		245.0				2.04				3
004168909		11.65			142.31			79.10		250.0				6.59				3
004171788		8.42			91.47			72.80		0.0				7.47				1
004172148		12.24			156.06			81.50		115.0				6.46				2
004174996		11.17			124.54			78.70		225.0				2.92				3
004180064		8.63			95.97			71.40		0.0				8.46				1
004261269		8.35			96.83			70.70		165.0				5.90				2
004262505		7.98			87.97			70.10		365.0				4.33				2
004279009		17.46			221.15			89.40		0.0				9.12				1
004280299		12.17			157.77			78.10		0.0				5.32				1
004280424		9.84			121.64			85.10		0.0				7.06				1
004282310		12.94			153.33			81.90		155.0				2.28				2
004348513		8.93			91.97			75.30		285.0				5.23				3
004350501		11.08			138.60			70.2		0.0				4.00				1
004356490		12.02			148.58			81.10		250.0				2.66				3
004365132		8.62			95.55			75.60		0.0				1.53				1
004370730		12.92			148.97			82.35		530.0				5.17				2
004376913		9.17			106.65			72.80		170.0				5.85				2
004445549		15.97			198.81			87.60		225.0				5.06				3
004446215		14.18			188.28			81.20		310.0				6.80				3
004448777		17.02			216.49			89.20		370.0				6.92				3
004454505		8.75			93.42			73.90		0.0				9.43				1
004457632		9.67			114.04			74.20		360.0				2.79				2
004465516		16.15			207.34			88.00		0.0				7.01				1
004466582		10.35			117.40			78.70		395.0				2.81				3
004469317		8.50			84.83			72.60		355.0				4.53				3
004471217		9.81			109.69			76.70		0.0				10.97				1
004472729		17.07			215.60			89.40		125.0				3.94				2
004475643		10.25			108.46			76.60		300.0				3.19				2
004489185		8.62			94.11			73.20		335.0				3.38				2
004555734		13.07			154.83			82.30		225.0				6.12				3
004568343		12.95			159.99			81.60		290.0				7.90				3
004570555		14.77			192.92			83.60		380.0				6.14				2
004571448		16.77			218.37			86.88		320.0				2.82				2
004586384		10.89			128.66			77.00		0.0				4.00				1
004586817		12.82			160.41			79.70		235.0				4.05				3
004588755		14.36			184.51			84.30		330.0				4.82				3
004633376		11.38			135.62			80.80		0.0				4.00				1
004645474		12.86			153.64			81.90		295.0				5.94				2
004645513		5.83			62.69			94.08		0.0				2.54				1
004649441		15.63			199.44			86.90		405.0				7.33				3
004650936		15.03			193.44			85.00		320.0				6.49				3
004660930		13.32			167.97			80.30		0.0				4.08				1
004662555		15.94			216.74			85.80		270.0				1.51				3
004664515		15.66			187.34			86.30		330.0				5.46				3
004667909		11.63			139.35			73.10		340.0				7.23				3
004669118		11.87			142.38			80.90		320.0				6.21				3
004678118		7.49			74.01			71.00		220.0				7.75				2
004726049		18.00			234.13			88.60		0.0				5.77				1
004729920		13.41			154.78			82.60		310.0				2.37				2
004730648		11.91			134.58			80.60		300.0				3.63				2
004732137		14.44			186.19			83.80		405.0				4.68				2
004749874		13.74			181.80			81.30		0.0				10.01				1
004755372		11.96			144.72			78.60		355.0				5.19				3
004756746		11.75			151.14			81.60		325.0				7.15				3
004774298		14.63			174.35			84.95		0.0				4.23				1
004818593		7.90			85.19			71.50		205.0				6.42				2
004826423		7.57			81.94			71.60		0.0				11.62				1
004833419		7.59			79.95			72.70		215.0				1.31				2
004839278		6.88			68.79			70.30		205.0				4.96				2
004840662		10.55			125.02			78.90		335.0				5.75				3
004842192		12.80			154.03			82.80		600.0				8.65				3
004847270		6.91			72.36			69.00		460.0				8.27				2
004852408		12.56			166.06			85.60		0.0				2.08				1
004848095		13.31			169.53			81.80		0.0				9.42				1
004902442		13.34			169.45			81.10		775.0				6.61				3
004904166		9.84			108.27			76.60		370.0				3.14				2
004904621		12.25			151.47			83.65		350.0				8.73				3
004912918		9.28			102.28			75.70		340.0				2.03				2
004920600		9.26			101.12			75.60		200.0				6.16				2
004926689		13.04			166.88			80.00		270.0				8.35				3
004928958		9.68			107.00			77.10		150.0				5.48				2
004932704		12.92			159.69			80.80		270.0				0.99				3
004934133		8.60			91.25			74.70		285.0				3.34				3
004952717		15.57			202.33			87.10		310.0				3.39				2
004953262		14.80			188.61			85.10		365.0				7.18				3
004989477		11.52			144.11			79.00		616.0				11.26				2
004991732		8.58			104.96			89.90		175.0				7.00				2
004995788		13.56			168.33			84.10		0.0				4.87				1
004997023		5.21			52.36			67.50		100.0				6.80				2
005000089		13.23			163.35			81.30		0.0				6.90				1
005002732		15.29			192.05			86.30		340.0				5.55				3
005003549		12.60			154.08			80.50		405.0				7.00				3
005006817		11.68			145.13			77.30		440.0				5.66				3
005016549		8.73			99.03			70.30		340.0				4.31				3
005019587		6.81			72.08			68.90		0.0				5.71				1
005034206		11.97			148.03			79.10		350.0				3.41				3
005035304		11.50			139.69			78.50		530.0				2.69				2
005080831		17.27			238.06			90.80		520.0				5.11				3
005083853		16.20			208.25			86.70		0.0				8.07				1
005105354		11.77			147.32			77.40		0.0				10.60				1
005107886		9.37			110.27			75.20		310.0				3.52				3
005109052		8.44			88.42			74.60		0.0				5.68				1
005109878		11.30			134.83			78.00		305.0				7.70				2
